Strategy report
Symbol: FB
Work Time: 11/4/20, 9:35 AM - 7/7/21, 10:05 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$283.13;11/4/20, 9:35 AM;;($2.00);1.0;
2;MacdPerfect;Sell to Close;-1.0;$281.18;11/4/20, 9:40 AM;($1.95);($1.95);0.0;
3;MacdPerfect;Buy to Open;1.0;$281.37;11/4/20, 9:45 AM;;($3.69);1.0;
4;MacdPerfect;Sell to Close;-1.0;$279.63;11/4/20, 9:50 AM;($1.74);($3.69);0.0;
5;MacdPerfect;Buy to Open;1.0;$279.96;11/4/20, 9:55 AM;;($0.96);1.0;
6;MacdPerfect;Sell to Close;-1.0;$285.73;11/4/20, 10:30 AM;$5.77;$2.08;0.0;
7;MacdPerfect;Buy to Open;1.0;$289.72;11/5/20, 9:35 AM;;$4.85;1.0;
8;MacdPerfect;Sell to Close;-1.0;$293.55;11/5/20, 10:15 AM;$3.83;$5.91;0.0;
9;MacdPerfect;Buy to Open;1.0;$278.30;11/12/20, 9:35 AM;;$6.80;1.0;
10;MacdPerfect;Sell to Close;-1.0;$276.96;11/12/20, 9:50 AM;($1.34);$4.57;0.0;
11;MacdPerfect;Buy to Open;1.0;$278.23;11/12/20, 9:55 AM;;$4.66;1.0;
12;MacdPerfect;Sell to Close;-1.0;$277.81;11/12/20, 10:25 AM;($0.43);$4.14;0.0;
13;MacdPerfect;Buy to Open;1.0;$276.22;11/27/20, 9:35 AM;;$3.54;1.0;
14;MacdPerfect;Sell to Close;-1.0;$275.57;11/27/20, 9:40 AM;($0.65);$3.49;0.0;
15;MacdPerfect;Buy to Open;1.0;$276.48;11/27/20, 10:00 AM;;$3.27;1.0;
16;MacdPerfect;Sell to Close;-1.0;$275.98;11/27/20, 10:10 AM;($0.50);$2.99;0.0;
17;MacdPerfect;Buy to Open;1.0;$281.07;12/1/20, 9:35 AM;;$5.59;1.0;
18;MacdPerfect;Sell to Close;-1.0;$285.86;12/1/20, 10:25 AM;$4.79;$7.78;0.0;
19;MacdPerfect;Buy to Open;1.0;$278.38;12/17/20, 9:35 AM;;$7.90;1.0;
20;MacdPerfect;Sell to Close;-1.0;$278.62;12/17/20, 10:05 AM;$0.24;$8.03;0.0;
21;MacdPerfect;Buy to Open;1.0;$277.11;12/29/20, 9:35 AM;;$8.62;1.0;
22;MacdPerfect;Sell to Close;-1.0;$277.96;12/29/20, 9:50 AM;$0.85;$8.88;0.0;
23;MacdPerfect;Buy to Open;1.0;$278.26;12/29/20, 9:55 AM;;$9.06;1.0;
24;MacdPerfect;Sell to Close;-1.0;$277.80;12/29/20, 10:15 AM;($0.46);$8.42;0.0;
25;MacdPerfect;Buy to Open;1.0;$271.20;1/7/21, 10:00 AM;;$8.32;1.0;
26;MacdPerfect;Sell to Close;-1.0;$269.72;1/7/21, 10:15 AM;($1.48);$6.94;0.0;
27;MacdPerfect;Buy to Open;1.0;$254.29;1/19/21, 9:35 AM;;$5.62;1.0;
28;MacdPerfect;Sell to Close;-1.0;$253.00;1/19/21, 9:40 AM;($1.29);$5.65;0.0;
