Strategy report
Symbol: WMT
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:30 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$142.67;10/27/20, 9:35 AM;;$0.28;1.0;
2;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$143.07;10/27/20, 10:00 AM;$0.40;$0.40;0.0;
3;AAA;Buy to Open;1.0;$140.09;11/2/20, 9:35 AM;;($0.06);1.0;
4;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$140.02;11/2/20, 10:00 AM;($0.07);$0.33;0.0;
5;AAA;Buy to Open;1.0;$142.56;11/3/20, 9:35 AM;;$0.13;1.0;
6;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$143.20;11/3/20, 10:05 AM;$0.64;$0.97;0.0;
7;AAA;Buy to Open;1.0;$143.13;11/5/20, 9:35 AM;;$1.16;1.0;
8;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$143.15;11/5/20, 10:05 AM;$0.03;$1.00;0.0;
9;AAA;Buy to Open;1.0;$144.45;11/6/20, 9:35 AM;;$0.68;1.0;
10;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$145.71;11/6/20, 10:15 AM;$1.26;$2.26;0.0;
11;AAA;Buy to Open;1.0;$145.71;11/9/20, 9:35 AM;;$2.01;1.0;
12;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$146.29;11/9/20, 10:05 AM;$0.58;$2.84;0.0;
13;AAA;Buy to Open;1.0;$144.10;11/10/20, 9:35 AM;;$2.59;1.0;
14;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$145.42;11/10/20, 10:35 AM;$1.32;$4.16;0.0;
15;AAA;Buy to Open;1.0;$146.76;11/11/20, 9:35 AM;;$4.17;1.0;
16;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$147.05;11/11/20, 10:05 AM;$0.29;$4.45;0.0;
17;AAA;Buy to Open;1.0;$148.45;11/12/20, 9:35 AM;;$4.43;1.0;
18;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$148.43;11/12/20, 9:40 AM;($0.02);$4.42;0.0;
19;AAA;Buy to Open;1.0;$148.34;11/13/20, 9:35 AM;;$4.31;1.0;
20;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$147.99;11/13/20, 9:55 AM;($0.35);$4.07;0.0;
21;AAA;Buy to Open;1.0;$150.65;11/16/20, 9:35 AM;;$4.71;1.0;
22;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$151.76;11/16/20, 10:15 AM;$1.11;$5.19;0.0;
23;AAA;Buy to Open;1.0;$150.03;11/18/20, 9:35 AM;;$6.07;1.0;
24;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$150.63;11/18/20, 10:10 AM;$0.60;$5.78;0.0;
25;AAA;Buy to Open;1.0;$149.91;11/19/20, 9:35 AM;;$6.29;1.0;
26;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$151.27;11/19/20, 10:15 AM;$1.37;$7.15;0.0;
27;AAA;Buy to Open;1.0;$152.56;11/20/20, 9:40 AM;;$6.58;1.0;
28;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$151.51;11/20/20, 11:35 AM;($1.06);$6.09;0.0;
29;AAA;Buy to Open;1.0;$151.40;11/23/20, 9:40 AM;;$5.04;1.0;
30;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$150.75;11/23/20, 10:05 AM;($0.66);$5.44;0.0;
31;AAA;Buy to Open;1.0;$150.89;11/24/20, 9:40 AM;;$5.69;1.0;
32;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$150.86;11/24/20, 9:50 AM;($0.02);$5.41;0.0;
33;AAA;Buy to Open;1.0;$152.19;11/25/20, 9:40 AM;;$5.28;1.0;
34;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$151.88;11/25/20, 10:05 AM;($0.31);$5.10;0.0;
35;AAA;Buy to Open;1.0;$152.29;11/27/20, 9:35 AM;;$5.30;1.0;
36;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$152.21;11/27/20, 9:55 AM;($0.08);$5.02;0.0;
37;AAA;Buy to Open;1.0;$152.51;12/1/20, 9:35 AM;;$5.24;1.0;
38;AAA(,5,WMT,9,9,10,);Sell to Close;-1.0;$152.73;12/1/20, 9:40 AM;$0.22;$5.24;0.0;
39;AAA;Buy to Open;1.0;$148.46;12/7/20, 9:35 AM;;$5.62;1.0;
