Strategy report
Symbol: AAPL
Work Time: 10/29/20, 9:35 AM - 7/9/21, 10:25 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;MacdPerfect;Buy to Open;1.0;$113.65;10/29/20, 9:35 AM;;($0.68);1.0;
2;MacdPerfect;Sell to Close;-1.0;$113.93;10/29/20, 10:10 AM;$0.28;$0.28;0.0;
3;MacdPerfect;Buy to Open;1.0;$109.87;11/2/20, 9:35 AM;;$0.68;1.0;
4;MacdPerfect;Sell to Close;-1.0;$109.83;11/2/20, 10:00 AM;($0.04);$0.24;0.0;
5;MacdPerfect;Buy to Open;1.0;$109.04;11/3/20, 9:35 AM;;$0.33;1.0;
6;MacdPerfect;Sell to Close;-1.0;$110.92;11/3/20, 10:25 AM;$1.88;$2.12;0.0;
7;MacdPerfect;Buy to Open;1.0;$113.85;11/4/20, 9:35 AM;;$1.02;1.0;
8;MacdPerfect;Sell to Close;-1.0;$114.55;11/4/20, 10:10 AM;$0.70;$2.82;0.0;
9;MacdPerfect;Buy to Open;1.0;$117.47;11/5/20, 9:35 AM;;$3.49;1.0;
10;MacdPerfect;Sell to Close;-1.0;$118.97;11/5/20, 10:05 AM;$1.49;$4.31;0.0;
11;MacdPerfect;Buy to Open;1.0;$119.90;11/9/20, 9:35 AM;;$3.51;1.0;
12;MacdPerfect;Sell to Close;-1.0;$121.73;11/9/20, 10:35 AM;$1.82;$6.14;0.0;
13;MacdPerfect;Buy to Open;1.0;$117.35;11/10/20, 9:35 AM;;$5.57;1.0;
14;MacdPerfect;Sell to Close;-1.0;$115.48;11/10/20, 10:30 AM;($1.87);$4.27;0.0;
15;MacdPerfect;Buy to Open;1.0;$117.00;11/11/20, 9:35 AM;;$4.56;1.0;
16;MacdPerfect;Sell to Close;-1.0;$118.33;11/11/20, 10:10 AM;$1.33;$5.60;0.0;
17;MacdPerfect;Buy to Open;1.0;$119.29;11/12/20, 9:35 AM;;$6.13;1.0;
18;MacdPerfect;Sell to Close;-1.0;$119.70;11/12/20, 9:45 AM;$0.41;$6.01;0.0;
19;MacdPerfect;Buy to Open;1.0;$119.10;11/12/20, 9:50 AM;;$6.37;1.0;
20;MacdPerfect;Sell to Close;-1.0;$119.99;11/12/20, 10:30 AM;$0.89;$6.89;0.0;
21;MacdPerfect;Buy to Open;1.0;$119.10;11/13/20, 9:35 AM;;$6.97;1.0;
22;MacdPerfect;Sell to Close;-1.0;$119.19;11/13/20, 9:40 AM;$0.09;$6.98;0.0;
23;MacdPerfect;Buy to Open;1.0;$119.08;11/13/20, 9:45 AM;;$6.57;1.0;
24;MacdPerfect;Sell to Close;-1.0;$118.22;11/13/20, 10:55 AM;($0.86);$6.12;0.0;
25;MacdPerfect;Buy to Open;1.0;$119.93;11/16/20, 9:45 AM;;$6.17;1.0;
26;MacdPerfect;Sell to Close;-1.0;$120.12;11/16/20, 10:15 AM;$0.19;$6.31;0.0;
27;MacdPerfect;Buy to Open;1.0;$119.09;11/18/20, 9:40 AM;;$6.21;1.0;
28;MacdPerfect;Sell to Close;-1.0;$119.37;11/18/20, 11:15 AM;$0.28;$6.59;0.0;
29;MacdPerfect;Buy to Open;1.0;$117.61;11/19/20, 9:50 AM;;$6.83;1.0;
