Strategy report
Symbol: NVDA
Work Time: 10/27/20, 9:35 AM - 7/12/21, 10:00 AM


Id;Strategy;Side;Amount;Price;Date/Time;Trade P/L;P/L;Position;
1;AAA;Buy to Open;1.0;$531.54;10/27/20, 9:35 AM;;$3.08;1.0;
2;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$532.32;10/27/20, 10:00 AM;$0.78;$0.78;0.0;
3;AAA;Buy to Open;1.0;$515.38;10/29/20, 9:40 AM;;($1.21);1.0;
4;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$518.86;10/29/20, 10:10 AM;$3.48;$4.25;0.0;
5;AAA;Buy to Open;1.0;$501.10;11/2/20, 9:35 AM;;$9.17;1.0;
6;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$508.21;11/2/20, 10:05 AM;$7.11;$11.36;0.0;
7;AAA;Buy to Open;1.0;$505.00;11/3/20, 9:35 AM;;$14.16;1.0;
8;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$513.69;11/3/20, 10:10 AM;$8.69;$20.05;0.0;
9;AAA;Buy to Open;1.0;$540.44;11/4/20, 9:35 AM;;$16.97;1.0;
10;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$537.00;11/4/20, 10:00 AM;($3.44);$16.61;0.0;
11;AAA;Buy to Open;1.0;$567.78;11/5/20, 9:40 AM;;$14.78;1.0;
12;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$573.17;11/5/20, 10:05 AM;$5.39;$22.00;0.0;
13;AAA;Buy to Open;1.0;$567.91;11/6/20, 9:35 AM;;$15.37;1.0;
14;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$561.43;11/6/20, 9:40 AM;($6.48);$15.53;0.0;
15;AAA;Buy to Open;1.0;$527.17;11/11/20, 9:40 AM;;$17.30;1.0;
16;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$527.97;11/11/20, 10:05 AM;$0.80;$16.33;0.0;
17;AAA;Buy to Open;1.0;$535.98;11/12/20, 9:35 AM;;$20.73;1.0;
18;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$546.59;11/12/20, 10:30 AM;$10.61;$26.94;0.0;
19;AAA;Buy to Open;1.0;$546.26;11/13/20, 9:35 AM;;$26.00;1.0;
20;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$543.57;11/13/20, 9:55 AM;($2.69);$24.25;0.0;
21;AAA;Buy to Open;1.0;$530.44;11/16/20, 9:35 AM;;$35.68;1.0;
22;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$544.14;11/16/20, 10:10 AM;$13.70;$37.95;0.0;
23;AAA;Buy to Open;1.0;$541.50;11/17/20, 9:35 AM;;$31.95;1.0;
24;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$535.47;11/17/20, 9:40 AM;($6.03);$31.92;0.0;
25;AAA;Buy to Open;1.0;$536.65;11/18/20, 9:40 AM;;$29.48;1.0;
26;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$534.00;11/18/20, 9:45 AM;($2.64);$29.27;0.0;
27;AAA;Buy to Open;1.0;$529.62;11/23/20, 9:35 AM;;$31.12;1.0;
28;AAA(,5,NVDA,9,9,10,);Sell to Close;-1.0;$529.99;11/23/20, 10:05 AM;$0.37;$29.64;0.0;
